Name,Description,Size,NA0,BS1,BS4,,,SRA Accession,,,,,,,,,,,,,,,
SRR2084000,freshwater metagenome,117277,0,1,0,,,SRS3454879,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454879,soil metagenome
SRR2084002,freshwater metagenome,206166,9,0,0,,,ERS785412,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785412,soil metagenome
SRR2084003,freshwater metagenome,205455,1,0,0,,,SRS4391963,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4391963,soil metagenome
SRR2084020,freshwater metagenome,117517,1,0,0,,,ERS1222762,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1222762,soil metagenome
SRR2084034,freshwater metagenome,202700,1,0,0,,,SRS4347078,activated sludge metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347078,activated sludge metagenome
SRR2084036,freshwater metagenome,113704,1,0,0,,,SRS4391965,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4391965,soil metagenome
SRR2084044,freshwater metagenome,117125,0,2,0,,,ERS1222764,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1222764,soil metagenome
SRR2084060,freshwater metagenome,79491,2,0,0,,,SRS3038129,aquatic metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3038129,aquatic metagenome
SRR2962985,freshwater metagenome,28223,1,0,0,,,SRS942336,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS942336,soil metagenome
SRR3598054,freshwater metagenome,87104,1,0,0,,,DRS026687,sediment metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,DRS026687,sediment metagenome
SRR3598056,freshwater metagenome,106389,0,1,0,,,ERS785400,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785400,soil metagenome
SRR3598081,freshwater metagenome,54067,1,0,0,,,SRS1520035,freshwater metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1520035,freshwater metagenome
SRR3598098,freshwater metagenome,101218,3,0,0,,,SRS2789972,marine sediment metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2789972,marine sediment metagenome
SRR3598160,freshwater metagenome,500065,0,1,0,,,SRS4347095,activated sludge metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347095,activated sludge metagenome
SRR3598168,freshwater metagenome,170064,0,1,0,,,SRS4114496,groundwater metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4114496,groundwater metagenome
SRR3598182,freshwater metagenome,294896,0,1,0,,,ERS785453,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785453,soil metagenome
SRR3708712,freshwater metagenome,2784090,7,0,0,,,SRS3454758,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454758,soil metagenome
SRR5246983,freshwater metagenome,102005,0,1,0,,,ERS1222774,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1222774,soil metagenome
SRR6308684,freshwater metagenome,34719,1,0,0,,,SRS4347343,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347343,soil metagenome
SRR6308685,freshwater metagenome,35642,1,0,0,,,SRS3454512,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454512,soil metagenome
SRR6308686,freshwater metagenome,37024,4,0,0,,,SRS4347125,activated sludge metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347125,activated sludge metagenome
SRR6308687,freshwater metagenome,44171,20,0,0,,,DRS026691,sediment metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,DRS026691,sediment metagenome
SRR6308692,freshwater metagenome,42353,6,0,0,,,ERS785504,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785504,soil metagenome
SRR6308776,freshwater metagenome,35919,4,0,0,,,SRS4347097,activated sludge metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347097,activated sludge metagenome
SRR6308893,freshwater metagenome,45518,2,0,0,,,ERS1222757,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1222757,soil metagenome
SRR6308897,freshwater metagenome,49282,15,0,0,,,SRS958469,hot springs metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS958469,hot springs metagenome
SRR6308898,freshwater metagenome,44802,2,0,0,,,ERS785408,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785408,soil metagenome
SRR6908832,freshwater metagenome,223594,1,0,0,,,SRS958489,hot springs metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS958489,hot springs metagenome
SRR6908835,freshwater metagenome,231324,1,0,0,,,ERS1222776,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1222776,soil metagenome
SRR6908836,freshwater metagenome,224397,4,0,0,,,SRS3454659,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454659,soil metagenome
SRR6908840,freshwater metagenome,195931,1,0,0,,,SRS3455124,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3455124,soil metagenome
SRR6908851,freshwater metagenome,231735,3,0,0,,,SRS3020372,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3020372,soil metagenome
SRR6908852,freshwater metagenome,202737,3,0,0,,,SRS958420,hot springs metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS958420,hot springs metagenome
SRR6908855,freshwater metagenome,140222,2,0,0,,,ERS1264975,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS1264975,soil metagenome
SRR6908856,freshwater metagenome,203186,1,0,0,,,SRS1157462,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1157462,soil metagenome
SRR6908859,freshwater metagenome,110992,1,0,0,,,SRS4391949,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4391949,soil metagenome
SRR7015392,freshwater metagenome,59544,0,1,0,,,SRS4347109,activated sludge metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347109,activated sludge metagenome
SRR7015435,freshwater metagenome,93090,1461,2,0,,,SRS913800,seawater metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS913800,seawater metagenome
SRR7015436,freshwater metagenome,2670,24,0,0,,,SRS3454882,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454882,soil metagenome
SRR7015438,freshwater metagenome,2089,1,0,0,,,SRS3455007,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3455007,soil metagenome
SRR7015441,freshwater metagenome,3701,17,0,0,,,SRS1572641,peat metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1572641,peat metagenome
SRR7063731,freshwater metagenome,71147,1,0,0,,,ERS785391,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785391,soil metagenome
SRR8284897,freshwater metagenome,100997,0,1,0,,,SRS1565962,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1565962,soil metagenome
SRR8284992,freshwater metagenome,88073,4,0,0,,,ERS785469,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785469,soil metagenome
ERR2604410,freshwater sediment metagenome,212828,0,6,0,,,ERS785502,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785502,soil metagenome
SRR7593938,freshwater sediment metagenome,14622,1,0,0,,,ERS785506,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785506,soil metagenome
SRR7593940,freshwater sediment metagenome,22527,1,0,0,,,SRS1299787,hydrocarbon metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1299787,hydrocarbon metagenome
SRR7593944,freshwater sediment metagenome,10678,1,0,0,,,SRS4347096,activated sludge metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4347096,activated sludge metagenome
SRR7593963,freshwater sediment metagenome,16008,1,0,0,,,ERS785397,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785397,soil metagenome
SRR7593964,freshwater sediment metagenome,15822,3,0,0,,,ERS785435,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785435,soil metagenome
SRR7593966,freshwater sediment metagenome,11796,1,0,0,,,SRS913791,seawater metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS913791,seawater metagenome
SRR7593984,freshwater sediment metagenome,19835,1,0,0,,,SRS3454481,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454481,soil metagenome
SRR7593987,freshwater sediment metagenome,11190,1,0,0,,,SRS913799,seawater metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS913799,seawater metagenome
SRR8549912,freshwater sediment metagenome,495347,0,2,0,,,SRS3454751,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS3454751,soil metagenome
SRR8499437,groundwater metagenome,69190,0,1,0,,,SRS1572630,peat metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS1572630,peat metagenome
SRR8499485,groundwater metagenome,78324,0,1,0,,,ERS785436,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785436,soil metagenome
SRR8499531,groundwater metagenome,59872,0,2,0,,,ERS785473,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785473,soil metagenome
DRR066287,hot springs metagenome,73480,30,0,0,,,SRS4391960,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS4391960,soil metagenome
DRR066288,hot springs metagenome,71219,9,0,0,,,SRS958474,hot springs metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS958474,hot springs metagenome
DRR066289,hot springs metagenome,66062,6,0,0,,,ERS785440,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785440,soil metagenome
DRR066291,hot springs metagenome,88720,17,0,0,,,ERS785482,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,ERS785482,soil metagenome
DRR066292,hot springs metagenome,85838,70,0,0,,,SRS2094430,soil metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2094430,soil metagenome
DRR066293,hot springs metagenome,86898,5,0,0,,,SRS913794,seawater metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS913794,seawater metagenome
SRR1042042,hot springs metagenome,76369,0,0,0,,,SRS2789967,marine sediment metagenome,,,,SRS1328024,soil metagenome,,,SRS1328024,soil metagenome,,,,SRS2789967,marine sediment metagenome
